File,Chip mass (kg),Fill height (m),Fill volume (cm^3),Bulk density (g/L)
BBox_Run_1._4.fbx,0.10013309950591065,0.11500710248947144,2496.4416310828938,40.11033074403403
BBox_Run_1._5.fbx,0.11353926680749282,0.14093871414661407,3111.7735923952055,36.48699477525258
BBox_Run_1._6.fbx,0.10274586029117927,0.11810873448848724,2568.998844715026,39.99451401177126
BBox_Run_1._7.fbx,0.09489152143942192,0.12170690298080444,2653.524814172451,35.7605555194386
BBox_Run_1._8.fbx,0.10158315257285722,0.10650241374969482,2298.9308906132987,44.187127585099915
BBox_Run_1._9.fbx,0.10609195781580638,0.1210702508687973,2638.541316675245,40.20856415827894
BigThenSmall_Run_1.fbx,0.10358855011872947,0.11970487236976624,2606.4474787167055,39.74319489059173
BigThenSmall_Run_10.fbx,0.10013793055259157,0.11867812275886536,2582.3492816361672,38.7778412721708
BigThenSmall_Run_2.fbx,0.11040547117590904,0.14638283848762512,3243.4844978993397,34.03915488031891
BigThenSmall_Run_3.fbx,0.10572278201289009,0.12423539161682129,2713.149896845312,38.96680464865513
BigThenSmall_Run_4.fbx,0.11108808280550875,0.14262931793928146,3152.5803268257696,35.237193438100185
BigThenSmall_Run_5.fbx,0.10656095651211217,0.15389402210712433,3426.655434629843,31.097657335256173
BigThenSmall_Run_6.fbx,0.10847130710317288,0.12333247065544128,2691.836267864005,40.29639855816556
BigThenSmall_Run_7.fbx,0.10946093837264925,0.15817224234342575,3531.740787698217,30.993480255947528
BigThenSmall_Run_8.fbx,0.10760077318991534,0.14756649732589722,3272.2378620870177,32.882931414187624
BigThenSmall_Run_9.fbx,0.10859021994110662,0.1340060532093048,2945.3246055918817,36.86867645587904
Compactness_Run_0.75_1.fbx,0.09683085193682928,0.09787271916866302,2100.667221210091,46.095283897965416
Compactness_Run_0.75_10.fbx,0.09887237560178619,0.10461542010307312,2255.393376150937,43.838195432905884
Compactness_Run_0.75_2.fbx,0.09515058976830915,0.09923259913921356,2131.7666192490783,44.63461849394483
Compactness_Run_0.75_3.fbx,0.09640017712081317,0.09958377480506897,2139.806429913591,45.05088674058521
Compactness_Run_0.75_4.fbx,0.08844600879820064,0.085664764046669,1823.8708633404249,48.49356967971489
Compactness_Run_0.75_5.fbx,0.09890307689784095,0.09842871129512787,2113.375862144524,46.798621423394216
Compactness_Run_0.75_6.fbx,0.10018738578946795,0.11286941170692444,2446.5978981857147,40.94967377506632
Compactness_Run_0.75_7.fbx,0.08812415366992354,0.078496053814888,1663.3271225417434,52.980650934892665
Compactness_Run_0.75_8.fbx,0.09927930252160877,0.09870350360870361,2119.6602553593175,46.83736569131419
Compactness_Run_0.75_9.fbx,0.0993871757236775,0.10425956547260284,2247.194544050251,44.22722366731371
Compactness_Run_0.85_1.fbx,0.10044201296113897,0.11398859322071075,2472.6767790528147,40.620761197755236
Compactness_Run_0.85_10.fbx,0.09537690893921535,0.09637042880058289,2066.3731939490826,46.1566716111618
Compactness_Run_0.85_2.fbx,0.09975749342993367,0.0994136780500412,2135.9117913356604,46.70487509577904
Compactness_Run_0.85_3.fbx,0.09202259437734028,0.0802452564239502,1702.3649488066094,54.05573842544743
Compactness_Run_0.85_4.fbx,0.09045240089471918,0.10107600688934326,2174.009406991619,41.60626012188543
Compactness_Run_0.85_5.fbx,0.10310237338126171,0.10752592980861664,2322.5891972578097,44.39113619532488
Compactness_Run_0.85_6.fbx,0.10104363079881296,0.10545119643211365,2274.6639922511076,44.42134361076149
Compactness_Run_0.85_7.fbx,0.09676500901696272,0.10990072786808014,2377.5995013424786,40.69861596216087
Compactness_Run_0.85_8.fbx,0.09634602307050955,0.10043008625507355,2159.196546923395,44.62123802846548
Compactness_Run_0.85_9.fbx,0.09348552183655556,0.1016288548707962,2186.697441710701,42.75192354156678
Compactness_Run_0.8_1.fbx,0.08885194236063398,0.08881472051143646,1894.8804089514565,46.89052772982161
Compactness_Run_0.8_10.fbx,0.09419554089254234,0.09797875583171844,2103.0902737967726,44.78910965742249
Compactness_Run_0.8_2.fbx,0.09335756000655238,0.10222984850406647,2200.500487521714,42.425602964394315
Compactness_Run_0.8_3.fbx,0.10625925162457861,0.11378449201583862,2467.9181370510555,43.05623028142621
Compactness_Run_0.8_4.fbx,0.09292543858464342,0.0963505208492279,2065.919176646744,44.980190723372594
Compactness_Run_0.8_5.fbx,0.09981743668322451,0.10910697281360626,2359.1945217814455,42.309964592428614
Compactness_Run_0.8_6.fbx,0.09817037916218396,0.09261557459831238,1980.9431130842393,49.557394411663395
Compactness_Run_0.8_7.fbx,0.10035133130440954,0.0994492918252945,2136.7271566170025,46.96497210401534
Compactness_Run_0.8_8.fbx,0.09416020700882655,0.10222215950489044,2200.323827805247,42.79379508549355
Compactness_Run_0.8_9.fbx,0.09047069773077965,0.09483642876148224,2031.4226026759397,44.535636066865145
