,osmid_start,x_start,y_start,osmid_end,x_end,y_end,Time
7060,66457942,-71.0954488,42.4274634,66461201,-71.091242,42.406175,15:30
7061,66457942,-71.0954488,42.4274634,66461201,-71.091242,42.406175,17:30
7062,66455009,-71.0879395,42.4385354,66481271,-71.125404,42.410395,8:30
7063,66455009,-71.0879395,42.4385354,66481271,-71.125404,42.410395,15:30
7064,66455009,-71.0879395,42.4385354,66481271,-71.125404,42.410395,17:30
7065,66481271,-71.125404,42.410395,66424284,-71.0825539,42.4042462,8:30
7066,66481271,-71.125404,42.410395,66424284,-71.0825539,42.4042462,15:30
7067,66481271,-71.125404,42.410395,66424284,-71.0825539,42.4042462,17:30
7068,66432078,-71.124367,42.410029,66442437,-71.0868217,42.4367384,8:30
7069,66432078,-71.124367,42.410029,66442437,-71.0868217,42.4367384,15:30
7070,66432078,-71.124367,42.410029,66442437,-71.0868217,42.4367384,17:30
7071,66441874,-71.0924688,42.4402675,66462139,-71.118875,42.411885,8:30
7072,66441874,-71.0924688,42.4402675,66462139,-71.118875,42.411885,15:30
7073,66441874,-71.0924688,42.4402675,66462139,-71.118875,42.411885,17:30
7074,66474482,-71.124367,42.411962,66459624,-71.0946693,42.4419503,8:30
7075,66474482,-71.124367,42.411962,66459624,-71.0946693,42.4419503,15:30
7076,66474482,-71.124367,42.411962,66459624,-71.0946693,42.4419503,17:30
7077,66474562,-71.0750709,42.4047116,66469951,-71.092331,42.4388724,8:30
7078,66474562,-71.0750709,42.4047116,66469951,-71.092331,42.4388724,15:30
7079,66474562,-71.0750709,42.4047116,66469951,-71.092331,42.4388724,17:30
7080,66455142,-71.0821778,42.4092255,2295021981,-71.1211007,42.4098316,8:30
7081,66455142,-71.0821778,42.4092255,2295021981,-71.1211007,42.4098316,15:30
7082,66455142,-71.0821778,42.4092255,2295021981,-71.1211007,42.4098316,17:30
7083,66463369,-71.1217444,42.4101564,66450694,-71.090072,42.436659,8:30
7084,66463369,-71.1217444,42.4101564,66450694,-71.090072,42.436659,15:30
7085,66463369,-71.1217444,42.4101564,66450694,-71.090072,42.436659,17:30
7086,66462139,-71.118875,42.411885,66484689,-71.090031,42.427745,8:30
7087,66462139,-71.118875,42.411885,66484689,-71.090031,42.427745,15:30
7088,66462139,-71.118875,42.411885,66484689,-71.090031,42.427745,17:30
7089,2295021981,-71.1211007,42.4098316,987866498,-71.0808029,42.4032954,8:30
7090,2295021981,-71.1211007,42.4098316,987866498,-71.0808029,42.4032954,15:30
7091,2295021981,-71.1211007,42.4098316,987866498,-71.0808029,42.4032954,17:30
7092,66452671,-71.126283,42.410583,66445131,-71.0908802,42.4110449,8:30
7093,66452671,-71.126283,42.410583,66445131,-71.0908802,42.4110449,15:30
7094,66452671,-71.126283,42.410583,66445131,-71.0908802,42.4110449,17:30
7095,66475631,-71.089691,42.4110612,66478694,-71.093713,42.429348,8:30
7096,66475631,-71.089691,42.4110612,66478694,-71.093713,42.429348,15:30
7097,66475631,-71.089691,42.4110612,66478694,-71.093713,42.429348,17:30
7098,66443549,-71.122337,42.410717,66465362,-71.0874971,42.4355449,8:30
7099,66443549,-71.122337,42.410717,66465362,-71.0874971,42.4355449,15:30
7100,66443549,-71.122337,42.410717,66465362,-71.0874971,42.4355449,17:30
7101,66461452,-71.0874827,42.4372678,66479782,-71.120223,42.40949,8:30
7102,66461452,-71.0874827,42.4372678,66479782,-71.120223,42.40949,15:30
7103,66461452,-71.0874827,42.4372678,66479782,-71.120223,42.40949,17:30
7104,66461868,-71.0889433,42.4041206,66454905,-71.0942491,42.427937,8:30
7105,66461868,-71.0889433,42.4041206,66454905,-71.0942491,42.427937,15:30
7106,66461868,-71.0889433,42.4041206,66454905,-71.0942491,42.427937,17:30
7107,1729919704,-71.084727,42.4101073,66421287,-71.123696,42.411082,8:30
7108,1729919704,-71.084727,42.4101073,66421287,-71.123696,42.411082,15:30
7109,1729919704,-71.084727,42.4101073,66421287,-71.123696,42.411082,17:30
7110,66452245,-71.123088,42.409608,66432605,-71.0823447,42.4057258,8:30
7111,66452245,-71.123088,42.409608,66432605,-71.0823447,42.4057258,15:30
