,osmid_start,x_start,y_start,start_zone,osmid_end,x_end,y_end,end_zone,Time
938,66443549,-71.122337,42.410717,0,66457683,-71.077194,42.408204,2,17:30
939,66453420,-71.12203,42.411153,0,66454970,-71.0936357,42.4387475,1,8:30
940,66453420,-71.12203,42.411153,0,66454970,-71.0936357,42.4387475,1,15:30
941,66453420,-71.12203,42.411153,0,66454970,-71.0936357,42.4387475,1,17:30
942,66421287,-71.123696,42.411082,0,66422964,-71.0910073,42.4354512,1,8:30
943,66421287,-71.123696,42.411082,0,66422964,-71.0910073,42.4354512,1,15:30
944,66421287,-71.123696,42.411082,0,66422964,-71.0910073,42.4354512,1,17:30
945,66436328,-71.0923806,42.4276826,1,66434109,-71.0742641,42.4041033,2,8:30
946,66436328,-71.0923806,42.4276826,1,66434109,-71.0742641,42.4041033,2,15:30
947,66436328,-71.0923806,42.4276826,1,66434109,-71.0742641,42.4041033,2,17:30
948,66463678,-71.120822,42.410936,0,66457133,-71.0848474,42.4104752,2,8:30
949,66463678,-71.120822,42.410936,0,66457133,-71.0848474,42.4104752,2,15:30
950,66463678,-71.120822,42.410936,0,66457133,-71.0848474,42.4104752,2,17:30
951,66464594,-71.125489,42.4102817,0,1729919695,-71.0851766,42.4098976,2,8:30
952,66464594,-71.125489,42.4102817,0,1729919695,-71.0851766,42.4098976,2,15:30
953,66464594,-71.125489,42.4102817,0,1729919695,-71.0851766,42.4098976,2,17:30
954,66431964,-71.089615,42.434035,1,66462491,-71.091598,42.404717,2,8:30
955,66431964,-71.089615,42.434035,1,66462491,-71.091598,42.404717,2,15:30
956,66431964,-71.089615,42.434035,1,66462491,-71.091598,42.404717,2,17:30
957,66439072,-71.0874203,42.4109224,2,66448047,-71.090225,42.435976,1,8:30
958,66439072,-71.0874203,42.4109224,2,66448047,-71.090225,42.435976,1,15:30
959,66439072,-71.0874203,42.4109224,2,66448047,-71.090225,42.435976,1,17:30
960,66442445,-71.0941838,42.4424465,1,66456019,-71.0948434,42.4058016,2,8:30
961,66442445,-71.0941838,42.4424465,1,66456019,-71.0948434,42.4058016,2,15:30
962,66442445,-71.0941838,42.4424465,1,66456019,-71.0948434,42.4058016,2,17:30
963,66474482,-71.124367,42.411962,0,66447050,-71.089764,42.432499,1,8:30
964,66474482,-71.124367,42.411962,0,66447050,-71.089764,42.432499,1,15:30
965,66474482,-71.124367,42.411962,0,66447050,-71.089764,42.432499,1,17:30
966,1755511237,-71.0918788,42.4283532,1,66459547,-71.121782,42.411549,0,8:30
967,1755511237,-71.0918788,42.4283532,1,66459547,-71.121782,42.411549,0,15:30
968,1755511237,-71.0918788,42.4283532,1,66459547,-71.121782,42.411549,0,17:30
969,66474496,-71.0943593,42.4341527,1,66471346,-71.08215,42.4021791,2,8:30
970,66474496,-71.0943593,42.4341527,1,66471346,-71.08215,42.4021791,2,15:30
971,66474496,-71.0943593,42.4341527,1,66471346,-71.08215,42.4021791,2,17:30
972,66459624,-71.0946693,42.4419503,1,66463369,-71.1217444,42.4101564,0,8:30
973,66459624,-71.0946693,42.4419503,1,66463369,-71.1217444,42.4101564,0,15:30
974,66459624,-71.0946693,42.4419503,1,66463369,-71.1217444,42.4101564,0,17:30
975,1729919704,-71.084727,42.4101073,2,66459982,-71.089862,42.426805,1,8:30
976,1729919704,-71.084727,42.4101073,2,66459982,-71.089862,42.426805,1,15:30
977,1729919704,-71.084727,42.4101073,2,66459982,-71.089862,42.426805,1,17:30
978,66480560,-71.0848411,42.4112967,2,66445763,-71.121871,42.41055,0,8:30
979,66480560,-71.0848411,42.4112967,2,66445763,-71.121871,42.41055,0,15:30
980,66480560,-71.0848411,42.4112967,2,66445763,-71.121871,42.41055,0,17:30
981,66462491,-71.091598,42.404717,2,66432078,-71.124367,42.410029,0,8:30
982,66462491,-71.091598,42.404717,2,66432078,-71.124367,42.410029,0,15:30
983,66462491,-71.091598,42.404717,2,66432078,-71.124367,42.410029,0,17:30
984,66427146,-71.0812429,42.4058406,2,66443549,-71.122337,42.410717,0,8:30
985,66427146,-71.0812429,42.4058406,2,66443549,-71.122337,42.410717,0,15:30
986,66427146,-71.0812429,42.4058406,2,66443549,-71.122337,42.410717,0,17:30
987,66422566,-71.0905475,42.4330561,1,66445763,-71.121871,42.41055,0,8:30
988,66422566,-71.0905475,42.4330561,1,66445763,-71.121871,42.41055,0,15:30
989,66422566,-71.0905475,42.4330561,1,66445763,-71.121871,42.41055,0,17:30
990,66463369,-71.1217444,42.4101564,0,288493456,-71.0812888,42.4019641,2,8:30
991,66463369,-71.1217444,42.4101564,0,288493456,-71.0812888,42.4019641,2,15:30
992,66463369,-71.1217444,42.4101564,0,288493456,-71.0812888,42.4019641,2,17:30
993,66477756,-71.0916173,42.43784,1,66466113,-71.093519,42.409641,2,8:30
994,66477756,-71.0916173,42.43784,1,66466113,-71.093519,42.409641,2,15:30
995,66477756,-71.0916173,42.43784,1,66466113,-71.093519,42.409641,2,17:30
996,66430948,-71.0905874,42.4302781,1,66465564,-71.0835666,42.4049152,2,8:30
997,66430948,-71.0905874,42.4302781,1,66465564,-71.0835666,42.4049152,2,15:30
998,66430948,-71.0905874,42.4302781,1,66465564,-71.0835666,42.4049152,2,17:30
999,66434546,-71.0918899,42.428293,1,66459547,-71.121782,42.411549,0,8:30
1000,66434546,-71.0918899,42.428293,1,66459547,-71.121782,42.411549,0,15:30
1001,66434546,-71.0918899,42.428293,1,66459547,-71.121782,42.411549,0,17:30
1002,66421287,-71.123696,42.411082,0,66425375,-71.0950008,42.4270427,1,8:30
1003,66421287,-71.123696,42.411082,0,66425375,-71.0950008,42.4270427,1,15:30
1004,66421287,-71.123696,42.411082,0,66425375,-71.0950008,42.4270427,1,17:30
1005,66474542,-71.0935822,42.4113888,2,66458544,-71.124606,42.411594,0,8:30
1006,66474542,-71.0935822,42.4113888,2,66458544,-71.124606,42.411594,0,15:30
1007,66474542,-71.0935822,42.4113888,2,66458544,-71.124606,42.411594,0,17:30
1008,66436328,-71.0923806,42.4276826,1,66462491,-71.091598,42.404717,2,8:30
1009,66436328,-71.0923806,42.4276826,1,66462491,-71.091598,42.404717,2,15:30
1010,66436328,-71.0923806,42.4276826,1,66462491,-71.091598,42.404717,2,17:30
1011,66423297,-71.0824246,42.405582,2,66463878,-71.0897011,42.4390312,1,8:30
1012,66423297,-71.0824246,42.405582,2,66463878,-71.0897011,42.4390312,1,15:30
1013,66423297,-71.0824246,42.405582,2,66463878,-71.0897011,42.4390312,1,17:30
1014,66436328,-71.0923806,42.4276826,1,66463678,-71.120822,42.410936,0,8:30
1015,66436328,-71.0923806,42.4276826,1,66463678,-71.120822,42.410936,0,15:30
1016,66436328,-71.0923806,42.4276826,1,66463678,-71.120822,42.410936,0,17:30
1017,66427664,-71.120235,42.410581,0,66463878,-71.0897011,42.4390312,1,8:30
1018,66427664,-71.120235,42.410581,0,66463878,-71.0897011,42.4390312,1,15:30
1019,66427664,-71.120235,42.410581,0,66463878,-71.0897011,42.4390312,1,17:30
1020,66487416,-71.091316,42.4337965,1,66449255,-71.092265,42.41105,2,8:30
1021,66487416,-71.091316,42.4337965,1,66449255,-71.092265,42.41105,2,15:30
1022,66487416,-71.091316,42.4337965,1,66449255,-71.092265,42.41105,2,17:30
1023,66462491,-71.091598,42.404717,2,66443549,-71.122337,42.410717,0,8:30
1024,66462491,-71.091598,42.404717,2,66443549,-71.122337,42.410717,0,15:30
1025,66462491,-71.091598,42.404717,2,66443549,-71.122337,42.410717,0,17:30
1026,66446609,-71.0941427,42.44154,1,66480496,-71.0944513,42.4117809,2,8:30
1027,66446609,-71.0941427,42.44154,1,66480496,-71.0944513,42.4117809,2,15:30
1028,66446609,-71.0941427,42.44154,1,66480496,-71.0944513,42.4117809,2,17:30
1029,66467891,-71.094388,42.44032,1,66486656,-71.081104,42.4062148,2,8:30
1030,66467891,-71.094388,42.44032,1,66486656,-71.081104,42.4062148,2,15:30
1031,66467891,-71.094388,42.44032,1,66486656,-71.081104,42.4062148,2,17:30
1032,66443749,-71.0876807,42.434794,1,66461201,-71.091242,42.406175,2,8:30
1033,66443749,-71.0876807,42.434794,1,66461201,-71.091242,42.406175,2,15:30
1034,66443749,-71.0876807,42.434794,1,66461201,-71.091242,42.406175,2,17:30
1035,66440950,-71.091994,42.439801,1,66443549,-71.122337,42.410717,0,8:30
1036,66440950,-71.091994,42.439801,1,66443549,-71.122337,42.410717,0,15:30
1037,66440950,-71.091994,42.439801,1,66443549,-71.122337,42.410717,0,17:30
1038,66464594,-71.125489,42.4102817,0,66487441,-71.0766575,42.4065731,2,8:30
1039,66464594,-71.125489,42.4102817,0,66487441,-71.0766575,42.4065731,2,15:30
1040,66464594,-71.125489,42.4102817,0,66487441,-71.0766575,42.4065731,2,17:30
1041,66432078,-71.124367,42.410029,0,66462692,-71.0798816,42.4095548,2,8:30
